id,behavior
0,MB_SAND
1,MB_SAND
2,MB_SAND
3,MB_SAND
4,MB_NORMAL
5,MB_NORMAL
6,MB_NORMAL
7,MB_NORMAL
8,MB_SAND
9,MB_SAND
10,MB_SAND
11,MB_SAND
12,MB_SAND
13,MB_SAND
14,MB_SAND
15,MB_NORMAL
16,MB_SAND
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_SAND
22,MB_NORMAL
23,MB_NORMAL
24,MB_SAND
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_SAND
30,MB_SAND
31,MB_SAND
32,MB_SAND
33,MB_NORMAL
34,MB_ANIMATED_DOOR
35,MB_NORMAL
36,MB_NORMAL
37,MB_SAND
38,MB_NORMAL
39,MB_NORMAL
40,MB_SAND
41,MB_SAND
42,MB_SAND
43,MB_SAND
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_SAND
49,MB_SAND
50,MB_SAND
51,MB_SAND
52,MB_SAND
53,MB_SAND
54,MB_NORMAL
55,MB_NORMAL
56,MB_SAND
57,MB_NORMAL
58,MB_NORMAL
59,MB_NORMAL
60,MB_NORMAL
61,MB_SAND
62,MB_NORMAL
63,MB_NORMAL
64,MB_SAND
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_SAND
70,MB_SAND
71,MB_NORMAL
72,MB_SAND
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_SAND
78,MB_NORMAL
79,MB_NORMAL
80,MB_SAND
81,MB_NORMAL
82,MB_ANIMATED_DOOR
83,MB_NORMAL
84,MB_NORMAL
85,MB_SAND
86,MB_NORMAL
87,MB_NORMAL
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_NORMAL
95,MB_NORMAL
96,MB_NORMAL
97,MB_NORMAL
98,MB_NORMAL
99,MB_SAND
100,MB_SAND
101,MB_SAND
102,MB_NORMAL
103,MB_NORMAL
104,MB_NORMAL
105,MB_SAND
106,MB_SAND
107,MB_SAND
108,MB_NORMAL
109,MB_SAND
110,MB_SAND
111,MB_NORMAL
112,MB_SAND
113,MB_SAND
114,MB_NORMAL
115,MB_NORMAL
116,MB_NORMAL
117,MB_NORMAL
118,MB_SAND
119,MB_NORMAL
120,MB_SAND
121,MB_NORMAL
122,MB_NORMAL
123,MB_NORMAL
124,MB_NORMAL
125,MB_NORMAL
126,MB_SAND
127,MB_SAND
128,MB_SAND
129,MB_NORMAL
130,MB_NORMAL
131,MB_NORMAL
132,MB_NORMAL
133,MB_NORMAL
134,MB_SAND
135,MB_SAND
136,MB_SAND
137,MB_SAND
138,MB_SAND
139,MB_SAND
140,MB_NORMAL
141,MB_SAND
142,MB_SAND
143,MB_SAND
144,MB_SAND
145,MB_SAND
146,MB_NORMAL
147,MB_SAND
148,MB_NORTH_ARROW_WARP
149,MB_SAND
150,MB_SAND
151,MB_SAND
152,MB_SAND
153,MB_SAND
154,MB_FOOTPRINTS
155,MB_SAND
156,MB_SAND
157,MB_FOOTPRINTS
158,MB_FOOTPRINTS
159,MB_FOOTPRINTS
160,MB_SAND
161,MB_FOOTPRINTS
162,MB_SAND
163,MB_SAND
164,MB_SAND
165,MB_FOOTPRINTS
166,MB_FOOTPRINTS
167,MB_FOOTPRINTS
168,MB_SAND
169,MB_SAND
170,MB_SAND
171,MB_NO_RUNNING
172,MB_NO_RUNNING
173,MB_NO_RUNNING
174,MB_NO_RUNNING
175,MB_SAND
176,MB_OCEAN_WATER
177,MB_OCEAN_WATER
178,MB_OCEAN_WATER
179,MB_NO_RUNNING
180,MB_NO_RUNNING
181,MB_NO_RUNNING
182,MB_NO_RUNNING
183,MB_FOOTPRINTS
184,MB_OCEAN_WATER
185,MB_OCEAN_WATER
186,MB_OCEAN_WATER
187,MB_OCEAN_WATER
188,MB_OCEAN_WATER
189,MB_OCEAN_WATER
